Product Name,Price,Quantity Sold,Number of Ratings,Location,badges,link,imageLink
【3 Years Warranty】15.6 inch Intel Core i7-8500Y Laptop Fingerprint Unlock Notebook 16GB DDR 2TB SSD Office Study Computer PC Windows 11 Pro,"RM1,078.25",6 sold,(5),Selangor,Voucher save 33%,,https://img.lazcdn.com/g/p/e89c2b0fa9670e43affabd506dfc7b9b.jpg_400x400q75.avif
Mirval F1 14'' Laptop Intel Celeron J4105 DDR4 8GB RAM 256GB SSD Computer Windows 10 Portable 1080P Notebook For Office Student,"RM1,299.90",24 sold,(1),Wp Kuala Lumpur,Voucher save 35%,,https://img.lazcdn.com/g/ff/kf/Sb057152adf9546d097eba5dd4c8f7ef9g.jpg_400x400q75.avif
"【2025 Brand New Original】Ultra thin business laptop | Intel core i7 | 15.6"" FHD | Fingerprint unlock | 16GB RAM |1TB SSD | Windows 11","RM1,090.56",11 sold,(11),Selangor,Voucher save 33%,,https://img.lazcdn.com/g/p/c903a657b65e23e8fbe99e6bcb8e5f6e.jpg_400x400q75.avif
HP ELITEBOOK X360 830 G7 ULTRABOOK TOUCHSCREEN / 13.3 INCH IPS FHD DISPLAY / INTEL CORE I5 -10210U 10TH GENERATION KABY LAKE / 16GB DDR4 RAM / 512GB SSD STORAGE / 2-IN-1 CONVERTIBLE SPECTRE DESIGN / WINDOW 11 PRO 64-BIT / 6 MONTHS WARRANTY [ #LAPTOP ],"RM1,188.00",6 sold,(1),Johor,Voucher save 25%,,https://img.lazcdn.com/g/p/b04218defe1e3f4b716345fa4a48eb68.jpg_400x400q75.avif
LENOVO THINKPAD T14 | LAPTOP MURAH | REFURBISHED LAPTOP,"RM1,199.00",6 sold,(10),Selangor,Voucher save 45%,,https://img.lazcdn.com/g/p/ee8cfc7275e941703d550e8b933b3585.png_400x400q75.avif
【3-Year-Warranty 】i7 Portable Laptop Computer PC Gamer Windows 11 Intel Core i7 8500Y 15.6 inch Office Study Laptops Fingerprint Unlock Notebook,"RM1,071.60",6 sold,(2),Wp Kuala Lumpur,Voucher save 30%,,https://img.lazcdn.com/g/p/da77a65b73f1a3a771087b2154f820a9.jpg_400x400q75.avif
"FREE [R] Lenovo 2-in-1 L14 L13 X13 X390 L390 ThinkPad X1 Yoga G5 Flip 360 13.3"" Laptops Touchscreen Refurbished","RM1,399.00",7 sold,(3),Selangor,Voucher save 31%,,https://img.lazcdn.com/g/p/a8fc694ccc3400d9af708bbdadc51686.jpg_400x400q75.avif
"FREE 🎁 [R] Lenovo 2-in-1 X13 X390 L390 ThinkPad X1 Yoga L13 L3 Flip 360 13.3"" Laptops Touchscreen Refurbished","RM1,049.00",16 sold,(2),Wp Kuala Lumpur,Voucher save 8%,,https://img.lazcdn.com/g/p/820eddaa249d4862a333d1f0e629033e.jpg_400x400q75.avif
Brand New Fuji 360 Airbook Flip + Touch Screen Laptop | 12GB RAM | 512GB SSD | Wins 11 + MS Office | School Laptop | 1 Day Shipping!,"RM1,099.00",8 sold,(5),Wp Kuala Lumpur,"Early Bird Saved RM1,188.00",,https://img.lazcdn.com/g/p/818fe614a3566eb41a8fc154ae8ad73c.png_400x400q75.avif
CHUWI 2025 CHUWI HI10 X1 8GB DDR5 256GB SSD N100 10inch windows 11 (lifetime genuine licensed) 2 in 1 laptop tablet PC,"RM1,099.00",45 sold,(4),Wp Kuala Lumpur,Voucher save 16%,,https://img.lazcdn.com/g/p/01c20fcf1322332086312cc584cb0799.jpg_400x400q75.avif
